Nazwisko  2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 
AdiJeKr    25   34   17   19   19   21   21   24   29   41   28   30   34   34   30   35   35   39   22   ---  ---  
AlGu       2    2    2    2    4    3    3    5    7    9    12   12   ---  ---  ---  ---  ---  ---  ---  ---  ---  
AlLe       15   37   75   ---  125  144  144  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnAd       88   91   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnCi       72   66   55   53   64   68   68   68   68   71   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnKa       88   91   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnKo       85   69   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnPa       35   23   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnRa       54   67   73   95   117  120  120  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnRy       77   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AnWa       13   35   14   21   27   30   30   35   44   55   56   54   52   52   46   51   51   45   55   49   92   
AniIwPr    43   ---  ---  ---  81   103  103  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AniLePi    79   78   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AniZbGa    78   70   87   47   48   46   46   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
AniZyOl    21   11   65   14   14   36   36   33   38   45   67   40   38   38   35   41   41   63   31   27   27   
AnPozro    19   16   23   27   28   27   27   27   32   43   39   31   39   39   37   38   38   ---  ---  ---  ---  
ArGa       98   ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  ---  
